,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91,V92,V93,V94,V95,V96,V97,V98,V99,V100
0.107591785,0.117739605,0.120117236,0.101179651,0.107089347,0.11523251,0.107239746,0.113378094,0.123835269,0.105163822,0.114642508,0.102728332,0.106408405,0.101970665,0.135094856,0.118986481,0.093761126,0.105006761,0.10711262,0.100346648,0.111501951,0.093581407,0.121405631,0.109620097,0.105269337,0.121067542,0.094628308,0.102091427,0.087966478,0.115345534,0.100678168,0.092674145,0.054088039,0.093819784,0.114160713,0.133356454,0.099861903,0.097247945,0.118252189,0.118134569,0.100751405,0.109335177,0.125010421,0.143632481,0.112429501,0.088210518,0.098427146,0.091088087,0.121907675,0.111530344,0.134756134,0.113694279,0.129590005,0.107830376,0.081355046,0.100629854,0.077926247,0.119751031,0.101545314,0.104571496,0.128402436,0.114695473,0.119898093,0.121754944,0.099521234,0.098117799,0.11612729,0.111520186,0.114461181,0.113786558,0.098694599,0.128179361,0.112630206,0.107628994,0.107783667,0.100351453,0.09807808,0.09602895,0.122808029,0.09216394,0.114462936,0.121839708,0.110571178,0.112143174,0.092384237,0.089102027,0.096250658,0.106180569,0.096539202,0.093895566,0.084806098,0.088803333,0.115949877,0.101337134,0.111987839,0.117446775,0.112137752,0.091540721,0.100255254,0.111849361,0.131304741
0.12789231,0.163164779,0.159689773,0.122033784,0.196470907,0.075735521,0,0.074346758,0.192947717,0.105287885,0.18447223,0,0.090254547,0.11702147,0.134019716,0.151829706,0,0.122965869,0.154569648,0.165286324,0.137924838,0.120362239,0.169328706,0.145277636,0.152977218,0.207137576,0.173483622,0.119585795,0.05110184,0.181784947,0.112321473,0.151076853,0.109610654,NA,0.082961919,0.101355836,0,0.081180376,0.088700887,0.21340901,0,0.218432073,0.147770894,0.138941552,0.123805825,0.116689067,0.107442477,0.07273512,0.151937983,0.149355841,0.119140437,0.085591171,0.212765985,0.234029422,0.071082055,0.20434106,0.108142246,0.122716347,0.132880498,0.156893238,0.168966783,0.10645056,0.148439656,0.13669628,0.164993353,0.117493462,0.111568669,0.141014072,0.083127983,NA,0.106221805,0.174685908,0.136263926,0.154862646,0.152911112,0.112790381,0.140905909,0.142978055,0.139238845,0.079931092,0.11318704,0.113702543,0.227270341,0.17099095,0.125095367,0.101512066,0.167435804,0.133922681,0,0.145478306,0.111260218,0.168804259,0.187541638,0.068996673,0.120175651,0.174751175,0.126328779,0.10416355,0.141843698,0.135231769,0.091842047
0.096818257,0.111314465,0.173522427,0.130472643,0.061052598,0.109450121,0.118633936,0.126067647,0.175121771,0.134739455,0.089494384,0.085392645,0.063990013,0,0.092114965,0.119926478,0.077910271,0.069227636,0.090337284,0.116407236,0.124799576,0.090647869,0.172684613,0.077599607,0.069336516,0,0.093561543,0.117807184,NA,0.136894498,0.12742198,0.109259086,0.128638181,0.124904194,0.0659093,NA,0.150049296,0.161834107,0.104310713,0.084410307,0.180841192,NA,0.09011836,0.13290204,0.124768084,0,0.044343188,0.082829197,0.12080485,0,0.107278802,0.085473607,0.165085682,0.058976531,0.071126444,0.080845876,0.122137554,0.09067252,0.085888547,0.104730745,0.130970242,0.149769545,0.047270715,0.118405176,0.158423381,0.083715138,0.099251538,0.080493375,0.099527636,NA,0.090252449,NA,0.077529454,0.117657369,0,0.068583433,0.086412618,0.126617952,NA,0.098183605,0.103861004,0.086229325,0.086883946,0.12461601,0.065388981,0.108452599,0.098719869,0.139588973,0.099011766,0.071806079,0.094621119,0,0.132250642,0.127892994,0.080119397,0.130694036,0.080766745,0.081630284,0,0.121251,0
0.079309647,0.081440611,0.038074663,0.139723587,0.056380374,0.115353759,0,0.099613725,0.069796584,0.097546647,0,0.077032498,0.132835912,0.083923934,0.08167837,0.116571293,0.060244783,0.139117316,0.05938736,0.089565765,0,0,0.099825154,0.128575847,0.101982962,0.154867053,0.059312043,NA,0.07002839,0.107551605,NA,0.078025308,0.082664299,0.106443647,0.082911516,0.091573971,0,0.084090269,0.038230821,0.067402305,0.078652367,0.082065218,0.088346979,0.106235178,0.117297398,0.087305737,0.060399156,0.106491652,0.10288034,0.079128851,0.11287195,0.054293515,0.051174082,0.072443137,0.064139972,0.09110445,NA,0.056231465,0.093169488,0.055626701,0.088036644,0,0.061710591,0.079884924,0.11519823,0.072789649,0,0.091957003,0.096399261,0.064406192,0.081870932,0.09779608,0.102994196,0.08001051,NA,0.061840771,0.087815644,0,0.09522336,0,0.090720722,0.10685928,0.063411134,0.083886251,0.123226312,0.075826489,0.090108579,0.123355885,0.060421879,0.118287174,0.086687469,0.083843207,0.112991158,0.086258804,0.086045165,0.104585412,0.12418741,0.106446822,0.081878698,0.075134274,0
0.064482932,0.076178959,0.087941974,0.089727374,0.057303102,0.085171778,0.077338228,0.054212276,0.064922671,0.098478633,0.084847191,0,0,0,0.050252109,0.050888506,0.051784532,0.057139549,0.064135955,0.090975296,0.067983094,0,0.06150639,0.055131326,0.072374165,0.068702707,0.060125269,0.072313096,0.046554859,0.061387035,0.107977586,0.057401444,0.078693733,0.046022332,0.088446906,0.081292697,NA,0.060979146,0.092435274,0.07331116,0.073814495,0.053547202,0.069639733,0.090959418,0.066703737,0.042867679,0.023777432,0.08838167,0.085956241,0,0.074184158,0.051584159,0.07119113,0.084777861,0.081873118,0.045520292,0.050518081,0.050602533,0.089156644,0.05684826,0.057451425,0.082214465,0,0.064974504,0.102023097,0.066868561,0.072273021,0.067620857,0.114481434,0.077327249,0.070360165,0.049905187,0.096629719,0.088314104,0.050163743,0.065991693,0.059178606,0.063333138,0.070409458,0.022680851,0.083137408,0.029594433,0.05574075,0.09348692,0.040680945,0.044898727,0.090012401,0.094461132,0.03874011,0.046298253,0.084028996,0.036913637,0.103812734,0.040163568,0.139911737,0.092444783,0.072879247,0.064634278,0.044152786,NA,0.035293042
0.054437325,0.053765468,0.066927022,0.059943171,0.051020816,0.088527751,0.053814276,0.036026813,0.074904098,0.0532022,0.079454644,0,0.016639157,0.063267439,0.075064872,0.098165668,0.04819571,0.076576069,0.020474299,0.084002408,0.087150754,0.046005019,0.060500544,0.039468008,0.066500085,0.054995195,0.063460451,0.090671847,0.091028131,0.068150953,0.061386785,0.076989776,0.044726076,0.054287042,0.025551057,0.059527832,0.061196237,0.019224939,0,0.053690337,0.070640746,0.058094821,0.068486513,0.070664336,0.070813599,0.055036686,0,0.047966052,0.072474131,0,0.062985221,0.057547593,0.066264846,0.050081019,0.049856059,0.058522483,0.097992078,0.03676898,0.094694749,0.055375155,0.093328132,0.038139393,0.081294446,0.045134236,0.068946444,NA,0.033423162,0.06751389,0.050011413,0.032157915,0.02869885,0.082617202,0,0.093706395,0.043615279,0.059651703,0.063297674,0.040315349,0.046590511,0.049383028,0.084605189,0.045727011,0.065079574,0.061663312,0.090776223,0.018109015,0,0.071575264,0.095309449,0.059977436,0,0.059271762,0.059839516,0.040507781,0.044005308,0.022612303,0.033383912,0,0.054099632,0.065413832,0.030765584
0.045171373,0.067405324,0.055394901,0.053212347,0.020883992,0.033360724,0.082986332,0.062742818,0.048175616,0.042988394,0.065919207,0.025581701,NA,0.040558553,0.057809074,0.074680753,0.050408985,0.053651271,0.060092969,0.050096457,0.053136864,0.030269104,0.041417007,0.076624381,0.065081286,0,0.038686062,0.077763792,0.046301466,0.022216575,0.027649908,0.02430997,0.031288834,0.056400547,0.026166231,0.05844639,0.065960067,0.050470858,0.053840365,0.036902527,0.028158067,0.060752918,0.016724919,0.0474956,0.058375028,0,0.039158369,0.03407515,0.095088664,0.044812548,0.038366471,0,0.074257512,0.070626189,0.037109844,0.017891092,NA,NA,0.045135306,0.057937377,0.018984177,0.061442828,0.049614776,0.060546,0.052640295,0.028427831,0.028023496,0.057122871,0.063321307,0.070902739,0.03719019,0.05346147,0.052623202,0.012729392,0.05079612,NA,0.026734405,0.068679765,0.051854759,0.01160465,0.054195716,0.019521221,0.022261564,0.074630263,0.048435955,0,0.049254172,0.068138294,0.034461846,0.042978689,0.069540786,0.046887776,0.076935059,0.012705616,0.050782519,0.048717392,0.019826222,0,0.041076391,0.071475428,0.033079875
0.032824844,0.040601593,0,0.090240074,0.049908703,0.02600749,0,0.018842074,0.006557757,0.064254199,NA,0.048869432,0,0.037098097,0.047399935,NA,0.030995129,0.061395263,0.029113606,0.050073625,0.027199809,0.030931504,0.022797288,0.021524249,0.049721992,0.030550401,0.013935186,0.049150355,0.032496631,0.048787944,0,0,0.020463224,0.066884296,0.033261065,0,0.039667741,0.013276649,NA,0.04945798,0.053126015,0.024780397,0.05711415,0.038965633,0.056664744,0.058203365,0.008093018,0.07191375,NA,0.043220622,0.061556969,0,0,0.047099052,0.048986253,0.017272383,0.024589125,0.014423202,0.034465893,0.03558942,0.015098364,0.031987272,0.058482985,0,0.041214907,NA,0.042917058,0.058016007,NA,0.038262721,0.042287562,0.040868647,0.019147049,0.038676022,0.013359813,0.055371325,0.028205345,0.017246919,0.049403561,0,0.063873541,0.021570625,0.030165282,0.044048122,0,0.07088182,0,0,0.034472893,0.024578839,0.072098816,0.031385384,0.050523323,NA,0.04470174,0,0.029714341,0.027565991,0,0.027889748,0.041167175
0.034847045,0.062901612,0.037675375,0.023179468,0.043212773,0.026784408,0,0,0.018175152,0.06261001,0.028495636,0,0.021928045,0.010537225,0.052386945,0.06430454,0.006976339,NA,0.041498126,0.07850742,0,0.064435229,0.022639457,0.063200607,0.037259687,0.059398395,0.019478937,0.042888267,0.039435799,0.04676945,0.027445023,0.054385227,0.020852447,0.06131862,0.041781503,0.043422179,0.025885879,0.020183395,0.048090775,0.007279626,0.02869922,0.07292588,0.076066836,0,0.02247043,0,0.032516856,0.051532014,0.060529459,0.042752447,0.021252038,0.033502724,0.041752269,0.050320855,0.030260632,0.041347409,0.008209974,0.019407963,0.03479737,0.033657111,0,0,0.078757577,0.033550638,0.010006422,0.040434742,0.029475961,0.068410782,0.04925047,0.011918491,0.032598463,0.043498114,0.02896025,0.026395447,NA,NA,NA,0.032465989,0.043315696,0,NA,0.016655072,0.020522969,0.020385054,NA,0.045105173,0.072933396,0.077397919,0,0.012242517,0.075982819,0.034595935,0,0.024632721,0.057659467,0.052321632,0,0.063545346,0.034175213,0.046440841,0.064662048
0.032318606,NA,NA,0.035094551,NA,NA,NA,NA,NA,0.025763375,0.019225813,0.041969866,0.037419257,0.017784151,NA,0.095879706,0.014544821,0.070464662,0,0.023779486,0.025938947,NA,NA,0.025583051,NA,0.049627414,NA,0.062222521,0.027534918,NA,NA,NA,NA,NA,0.013168607,NA,NA,NA,NA,0.041976121,0.070858621,NA,NA,0,0.063549488,NA,0.017260465,NA,0,NA,NA,NA,NA,NA,0.038278904,NA,NA,0.044455323,0.0419916,NA,NA,0.021337915,0,0.037973543,NA,NA,NA,0.037662933,NA,0.055104373,NA,NA,NA,0.02027173,NA,NA,NA,NA,NA,0.037335917,NA,0.027870311,0.001557272,0.017616884,NA,0.030271236,NA,0.041612626,NA,NA,0.040113567,NA,0.039096023,NA,NA,NA,0,0.045185463,NA,NA,NA
