"gene","ig_int","ig","km_x","hc","sc_a","pl_sc"
"97647_at",10,10,5,5,3,3
"99590_at",10,10,5,5,3,3
"94068_at",12,1,5,5,4,10
"100686_at",14,14,5,5,10,10
"96358_at",10,10,5,5,3,3
"93121_at",10,10,7,7,3,3
"96071_at",14,10,14,14,3,3
"98564_f_at",10,10,5,5,3,3
"96300_f_at",1,1,5,5,10,10
"93030_at",14,14,5,5,10,10
"160389_r_at",14,14,10,10,10,10
"98085_f_at",10,10,5,5,3,3
"162335_at",10,10,10,10,3,3
"101137_at",10,10,5,5,3,3
"100780_at",14,14,5,5,10,10
"99336_at",10,10,5,5,3,3
"101577_at",10,10,5,5,3,3
"101212_at",10,10,5,5,3,3
"100732_at",14,14,5,5,10,10
"97750_at",14,10,5,5,3,3
"94257_at",6,11,1,1,2,5
"98950_at",13,8,13,13,2,11
"92850_at",7,7,1,1,6,6
"98604_at",3,13,1,1,2,2
"101584_at",13,8,13,13,2,11
"93839_at",3,3,1,1,6,7
"160484_at",4,4,10,10,13,9
"160299_at",13,8,13,13,14,11
"160453_at",11,11,11,11,5,5
"92539_at",3,4,13,13,12,9
"98600_at",5,4,9,9,4,9
"99051_at",3,13,1,1,2,2
"92770_at",12,10,1,1,3,3
"98534_at",9,9,7,7,12,4
"100635_at",3,2,9,9,6,7
"96657_at",13,2,6,6,12,8
"95758_at",2,2,14,14,4,8
"95467_at",11,7,7,7,13,13
"93278_at",8,13,7,7,2,2
"161370_f_at",11,6,11,11,5,14
"98847_at",6,11,1,1,2,5
"98590_at",3,13,1,1,9,2
"93017_at",7,6,8,8,6,1
"94080_at",8,8,11,11,14,11
"95091_at",13,13,3,3,2,2
"104709_at",3,3,13,13,9,1
"103381_at",11,11,9,9,5,5
"160291_at",13,6,3,3,5,14
"93548_at",9,2,3,3,12,8
"92636_f_at",9,12,10,10,10,12
"160136_r_at",13,13,3,6,9,7
"92870_at",8,6,11,11,2,14
"104287_at",2,13,10,10,2,2
"160563_at",14,14,11,11,3,10
"95101_at",5,4,1,1,13,9
"100151_at",7,6,9,9,6,1
"96060_at",8,8,7,7,5,11
"94147_at",8,2,11,11,13,7
"97487_at",12,1,11,11,4,12
"94817_at",12,9,6,13,4,4
"94456_at",14,1,14,14,10,12
"97808_at",4,3,10,10,9,7
"96126_at",6,11,1,1,2,5
"93806_at",5,5,2,8,13,13
"103569_at",7,7,11,11,6,6
"95327_at",7,7,7,7,6,6
"104350_at",3,8,7,7,5,11
"95102_at",6,6,13,13,11,14
"97828_at",13,13,13,13,12,2
"104576_at",13,3,3,6,6,1
"93506_at",2,12,14,14,12,4
"93084_at",5,4,10,10,13,9
"100617_at",2,2,12,12,2,2
"96832_at",6,6,1,1,2,14
"99133_at",2,13,10,10,2,2
"99445_at",8,13,2,2,2,2
"97383_at",13,13,3,3,2,2
"101437_at",8,13,2,8,2,2
"98553_at",6,6,9,1,14,14
"92216_at",3,8,9,9,2,11
"92687_at",8,8,8,8,1,11
"93701_at",3,8,9,9,1,11
"102062_at",13,13,10,3,2,2
"97200_f_at",2,12,14,14,10,12
"160543_at",4,3,10,10,9,1
"97818_at",3,13,9,9,2,2
"93597_at",3,8,1,7,1,11
"100538_at",2,2,10,14,12,8
"100401_at",9,2,7,7,12,8
"101430_at",7,7,1,1,6,13
"97160_at",12,14,7,7,4,10
"94472_at",7,3,9,9,6,7
"160096_at",3,6,1,1,5,14
"101995_at",5,4,3,3,13,9
"96004_at",3,8,7,7,2,11
"101519_at",4,2,13,6,9,8
"103680_at",3,8,9,9,14,11
"94017_s_at",2,13,12,12,1,2
"99628_at",2,2,14,14,12,8
"160182_at",2,13,14,14,2,2
"93805_at",3,13,9,9,2,2
"94511_at",3,13,7,7,2,2
"104248_at",13,2,13,13,12,8
"101511_at",9,12,4,4,12,8
"95069_at",13,13,3,3,2,2
"94292_at",11,8,9,9,5,11
"98922_at",6,6,2,8,2,14
"95702_at",6,6,3,6,14,14
"160277_at",3,8,9,9,2,11
"160064_at",3,6,1,1,6,1
"101980_at",8,2,8,8,12,8
"160436_at",11,6,2,8,5,14
"95424_at",2,13,14,14,2,2
"96542_at",2,3,10,10,13,7
"94985_at",3,13,9,9,14,2
"100774_at",3,8,1,1,14,11
"94991_at",6,6,8,8,2,1
"160309_at",3,13,9,1,2,2
"103910_at",6,11,3,3,14,14
"103073_i_at",2,2,10,10,12,2
"93541_at",5,4,7,7,13,9
"100154_at",8,13,11,11,2,2
"104324_at",8,3,11,11,9,7
"96873_at",3,8,1,7,1,11
"93327_at",8,8,11,11,8,11
"93333_at",9,2,9,1,12,8
"98937_at",13,13,13,6,2,2
"101527_at",2,2,10,10,12,8
"98951_at",11,7,11,11,5,6
"160483_at",8,13,2,8,6,2
"94218_at",9,12,10,10,12,8
"104233_at",5,3,7,7,7,7
"104601_at",6,8,4,4,2,11
"160469_at",10,10,8,8,3,3
"94262_at",3,13,1,1,8,2
"94210_at",2,2,10,10,2,8
"94860_at",2,13,10,10,5,2
"101464_at",13,13,13,13,2,2
"160116_at",12,1,1,1,4,12
"160613_at",8,6,11,11,6,1
"162089_r_at",7,11,10,10,5,5
"98919_at",8,13,11,11,5,2
"101522_at",8,8,8,8,2,11
"100572_at",6,6,9,9,6,14
"96275_f_at",7,7,8,8,6,6
"95520_at",8,8,11,11,5,11
"160322_at",3,13,1,1,2,2
"93817_at",7,7,9,1,6,6
"160183_f_at",11,6,13,13,5,14
"160235_at",3,13,1,1,1,2
"98615_at",3,2,9,9,2,8
"160179_at",11,11,9,9,5,5
"161667_r_at",7,3,14,14,6,1
"98129_at",10,10,12,12,3,3
"96426_at",10,10,14,14,3,3
"101993_at",3,3,1,1,13,7
"92572_at",6,6,2,8,1,14
"104071_at",13,8,3,6,1,11
"160256_at",1,1,10,10,10,10
"99462_at",8,8,11,11,5,11
"93997_at",3,8,9,9,2,11
"99566_at",2,8,14,14,1,11
"160532_at",12,14,6,13,3,10
"100605_at",11,6,9,9,5,1
"93265_at",13,3,3,6,9,7
"95542_at",5,4,6,3,13,9
"93595_at",7,3,13,9,6,1
"161537_f_at",8,13,11,11,2,2
"104192_at",4,3,8,8,9,7
"102599_at",10,14,5,5,3,10
"160936_at",6,6,9,9,14,14
"160361_at",3,6,1,1,2,14
"94235_at",8,6,11,11,1,1
"160376_at",8,8,11,11,2,11
"93728_at",13,13,3,3,9,2
"97903_at",13,8,3,6,5,11
"94809_at",8,8,11,11,5,11
"93012_at",3,8,1,1,2,11
"97912_at",5,5,11,11,6,13
"98144_f_at",13,8,3,3,2,11
"93042_at",13,8,3,6,2,11
"95326_at",3,8,1,1,5,11
"98555_at",13,13,13,13,2,2
"100342_i_at",12,9,12,14,4,4
"98759_f_at",12,12,5,5,4,12
"101543_f_at",5,2,5,5,13,8
"94788_f_at",14,10,12,12,3,3
"93646_at",3,13,7,7,13,2
"92807_at",14,1,12,12,10,10
"98130_at",13,13,13,13,2,2
"94242_at",1,12,13,13,10,12
"161028_at",8,3,2,2,6,7
"160115_at",13,3,13,13,9,7
"96113_at",9,9,3,3,12,4
"99985_at",4,3,10,10,9,7
"98404_at",2,8,10,10,5,11
"104715_at",13,13,3,3,2,2
"101255_at",14,14,5,5,10,10
"95215_f_at",5,4,5,5,13,9
"93509_at",8,2,7,7,9,7
"103754_at",3,13,9,9,13,2
"92660_f_at",13,13,13,13,2,2
"100529_at",3,6,1,1,5,14
"97530_at",3,2,1,7,2,8
"97479_at",13,6,13,13,1,1
"97460_at",7,3,9,9,6,1
"160164_at",4,7,3,3,9,13
"95601_at",3,8,9,1,1,11
"104311_at",3,6,9,9,5,14
"97807_at",3,13,9,1,2,2
"161908_i_at",6,8,4,4,14,11
"102322_at",3,8,9,9,2,11
"161338_i_at",9,9,7,7,12,4
"101989_at",2,8,14,14,14,11
"99115_at",2,2,10,14,2,8
"93844_at",9,12,14,14,12,12
"103013_at",3,13,1,1,2,2
"96061_at",13,13,3,6,9,2
"103713_at",13,13,13,13,2,2
"103876_at",2,13,10,10,11,2
"92507_at",8,13,11,11,9,2
"161516_r_at",6,6,8,8,5,14
"104501_at",3,13,7,7,2,7
"101982_at",13,8,13,13,2,11
"94963_at",3,3,9,9,13,7
"100710_at",4,4,10,14,9,9
"98139_at",8,13,2,2,2,2
"160529_r_at",13,2,3,3,10,8
"101046_at",12,14,7,7,4,10
"100964_at",11,11,1,1,5,5
"103836_at",8,8,11,11,14,11
"96075_at",11,6,3,3,5,1
"100297_at",3,3,1,1,5,7
"101001_at",7,3,8,8,13,7
"160739_at",8,13,2,2,2,2
"98946_at",13,13,13,13,2,2
"160296_at",11,7,1,1,13,6
"95627_at",8,6,11,11,14,14
"161797_r_at",8,13,8,8,2,2
"97475_at",8,8,11,11,5,11
"160520_at",13,13,3,3,2,2
"93740_at",12,12,5,5,4,12
"99675_at",3,13,9,9,2,2
"104535_at",3,6,1,1,2,14
"98053_at",5,5,13,13,13,13
"160485_r_at",14,1,10,14,10,10
"102259_at",4,4,7,7,13,9
"97535_at",13,13,3,3,2,2
"93016_at",2,2,14,14,12,2
"97544_at",2,2,10,14,12,8
"103978_at",3,2,1,1,2,8
"160251_at",13,11,3,3,14,5
"92521_at",11,7,7,7,5,13
"93943_f_at",8,13,11,11,2,2
"96157_at",3,8,9,9,5,11
"104050_at",3,13,9,9,2,2
"92262_at",13,13,3,3,7,2
"99779_at",8,8,7,7,1,11
"100143_at",11,7,2,8,5,6
