"gene","ig_int","ig","km_x","hc","sc_a","pl_sc"
"97387_at",6,6,9,1,5,14
"97468_at",2,13,14,14,2,2
"94254_at",3,13,9,9,9,2
"160386_at",11,11,9,1,5,5
"100579_s_at",4,4,3,6,12,9
"160252_at",12,12,14,14,4,12
"160356_at",11,11,1,1,5,5
"98492_at",13,13,13,13,1,2
"101086_f_at",2,2,14,14,12,8
"94004_at",5,4,11,11,13,9
"160150_f_at",2,2,14,14,2,8
"100039_at",13,13,3,3,13,11
"100481_at",11,6,2,8,5,14
"92313_at",8,3,11,11,13,7
"94305_at",12,9,13,6,4,9
"101130_at",12,12,11,11,4,12
"101093_at",4,4,1,1,13,9
"101039_at",7,5,10,10,6,13
"93220_at",8,8,2,2,2,11
"101080_at",4,5,7,7,6,13
"92567_at",5,3,1,1,13,7
"100308_at",5,4,2,8,13,9
"92878_at",6,6,1,1,14,14
"96854_at",13,8,13,6,5,11
"94992_at",6,11,1,1,5,5
"98539_at",8,13,11,11,2,2
"98928_at",3,13,1,1,2,2
"98107_at",13,13,3,3,1,2
"160230_at",2,12,14,14,10,8
"93788_at",14,14,11,2,10,10
"99631_f_at",9,9,14,14,12,4
"99114_r_at",9,12,9,9,10,12
"100550_f_at",10,10,12,12,3,3
"93820_at",1,1,14,14,10,12
"160383_at",1,12,10,10,10,12
"99660_f_at",14,14,5,5,10,10
"92860_at",14,10,2,8,3,3
"99642_i_at",12,12,8,8,4,9
"104274_at",3,8,9,9,2,11
"101593_at",11,7,7,7,5,6
"93760_at",13,13,13,6,2,2
"94065_at",11,3,2,8,5,1
"103817_at",13,2,13,13,6,7
"160098_s_at",3,6,9,9,5,1
"99666_at",13,6,13,13,1,14
"93076_at",13,13,3,3,2,2
"97925_at",3,8,1,1,2,11
"96099_at",13,8,13,13,2,11
"99586_at",13,4,3,3,13,9
"100581_at",13,2,10,10,12,8
"101081_at",6,11,13,13,1,5
"161879_r_at",13,13,13,13,14,2
"93364_at",13,4,3,3,13,7
"160430_at",2,2,14,14,13,7
"103341_at",2,13,10,10,1,2
"101055_at",6,11,9,9,1,5
"92256_at",12,9,1,1,4,4
"93810_at",12,9,10,14,4,4
"101963_at",12,14,3,3,3,10
"92633_at",6,6,11,11,2,14
"94054_at",13,2,13,13,6,7
"100112_at",3,2,7,7,2,8
"95701_at",6,11,11,11,2,14
"103619_at",3,13,9,9,9,2
"103921_i_at",3,13,1,1,2,11
"94284_at",3,4,9,9,13,9
"102752_at",3,13,9,9,2,2
"161368_r_at",5,5,4,4,13,13
"96008_at",13,2,3,3,2,8
"93842_at",11,11,7,7,5,5
"98940_at",8,13,11,11,2,2
"94454_at",7,6,13,9,6,1
"103430_at",7,7,8,8,6,6
"94299_at",8,3,11,11,9,1
"102071_at",11,6,9,1,5,14
"95682_at",2,12,14,14,13,8
"101074_at",7,3,11,11,6,13
"92969_at",11,6,9,9,5,14
"161933_r_at",3,8,1,1,14,11
"101542_f_at",2,13,14,14,2,2
"93493_at",1,9,3,3,10,12
"92226_at",3,13,1,1,2,2
"101179_at",2,2,14,14,9,7
"95688_at",2,3,10,10,13,7
"93982_at",11,11,7,7,5,5
"104136_at",6,6,11,11,1,14
"97261_at",2,2,10,10,12,8
"95068_at",11,11,1,1,5,5
"104625_at",3,3,9,9,9,13
"160144_at",6,6,1,1,2,14
"102414_i_at",6,6,2,8,14,14
"95455_at",8,13,8,8,2,2
"160370_at",3,13,5,5,2,2
"98298_at",3,13,1,1,2,2
"96617_at",6,6,1,1,2,14
"94492_at",12,1,12,12,4,10
"97333_at",3,3,9,9,13,7
"100603_at",8,13,11,11,9,2
"96298_f_at",12,1,12,12,4,12
"101929_at",7,7,13,13,6,6
"94862_i_at",3,3,9,9,6,7
"95056_r_at",7,4,8,8,6,7
"103456_at",3,8,1,1,2,11
"96322_at",3,8,1,1,14,11
"96624_r_at",10,10,13,13,3,3
"160129_at",9,4,14,14,12,8
"97559_at",10,10,12,12,3,3
"99887_at",6,6,8,8,2,14
"98579_at",6,6,7,7,2,14
"96929_at",8,8,8,8,2,11
"99629_at",13,3,10,3,13,7
"99191_at",8,13,2,8,2,2
"92855_at",9,9,10,10,12,4
"160365_at",14,14,3,6,3,10
"94252_at",2,2,14,14,2,8
"94250_at",13,12,3,3,10,12
"93973_at",13,13,10,3,2,2
"160554_at",2,2,14,14,12,8
"160541_at",3,2,1,1,9,8
"95715_at",14,1,14,14,10,12
"92816_r_at",14,1,12,12,10,10
"93089_at",1,12,12,12,10,12
"96843_at",13,13,13,9,2,2
"100636_at",2,2,14,14,12,8
"103926_at",4,4,1,1,9,9
"100535_at",12,12,9,9,4,12
"97278_at",13,2,3,3,2,7
"160265_at",13,2,3,6,6,7
"98141_at",8,6,7,7,1,14
"94001_at",2,6,10,10,2,14
"97426_at",5,4,1,1,13,9
"93593_f_at",3,8,9,1,2,11
"160568_at",14,14,12,5,10,10
"93722_at",8,8,2,2,1,11
"98958_at",8,13,11,11,2,2
"101587_at",3,6,1,1,2,14
"160184_at",5,4,9,1,13,9
"96345_at",3,13,1,1,14,2
"94040_at",9,12,12,12,12,8
"161755_at",6,11,7,7,6,5
"92553_at",7,7,6,3,6,6
"96112_at",13,13,13,13,14,2
"92267_at",8,13,7,7,2,2
"97689_at",8,13,8,8,2,2
"95488_at",7,7,9,9,6,6
"97864_at",6,6,1,1,14,14
"100141_at",10,10,7,7,3,3
"160503_at",2,13,14,14,2,2
"100928_at",5,4,7,7,13,9
"101090_at",11,6,7,7,5,14
"96774_at",13,13,3,3,2,2
"97498_at",3,8,9,1,5,11
"96036_at",8,13,2,8,9,2
"162414_f_at",11,6,2,2,5,14
"160257_at",12,12,10,10,4,8
"160416_at",2,2,14,14,12,8
"93731_at",5,5,13,13,13,13
"97300_at",5,4,2,8,13,9
"161223_r_at",11,7,2,8,5,6
"92852_at",10,10,14,14,3,3
"103546_at",7,7,11,11,6,6
"92838_at",2,13,14,14,5,7
"98817_at",5,4,7,7,13,9
"94833_at",12,4,7,7,4,9
"94794_at",14,10,14,14,3,3
"99872_s_at",10,10,5,5,3,3
"102427_at",13,8,13,13,1,11
"101143_at",8,8,7,7,2,11
"101106_at",2,3,10,10,9,1
"160516_at",13,8,3,3,2,11
"96869_at",3,2,9,9,13,7
"93011_at",3,8,7,7,2,11
"97934_at",3,13,7,7,2,2
"97553_at",7,11,1,1,6,5
"97516_at",3,8,1,1,2,11
"101214_f_at",14,1,5,5,10,12
"93270_at",13,8,10,3,1,11
"101885_at",9,12,8,8,12,12
"99067_at",8,8,11,11,2,11
"104110_at",13,8,13,6,14,11
"160114_at",2,13,14,14,9,2
"100592_at",13,13,3,6,2,2
"95696_at",2,2,14,14,12,8
"162364_f_at",8,13,7,7,9,2
"93969_at",8,13,11,11,2,2
"100729_at",10,10,5,5,3,3
"101860_at",8,8,2,8,5,11
"99596_f_at",5,4,10,10,13,9
"94814_at",2,13,10,14,2,2
